X,Y
55.446296934,37.317299815
55.432236039,37.353143864
55.416941443,37.345536954
55.439923833,37.362244208
55.436207188,37.379218740
55.486404115,37.267462009
55.492024679,37.182790321
55.498032544,37.205447267
55.464900196,37.355510503
55.465136366,37.378659961
55.458743632,37.383259508
55.442221627,37.518733346
55.447652104,37.527500755
55.456706136,37.524717406
55.453652211,37.514156185
55.463830686,37.543255208
55.471979046,37.542466675
55.476163193,37.550644320
55.481147406,37.536893948
55.474133918,37.525126663
55.470628147,37.500408943
55.476399670,37.497817375
55.486358444,37.499013028
55.488054548,37.482063367
55.480584225,37.475088972
55.477524522,37.459740717
55.499936106,37.476273205
55.498353628,37.488840102
55.500390977,37.508387476
55.496428487,37.522148703
55.497666393,37.557088839
55.473860832,37.420589395
55.475236057,37.400445160
55.479982451,37.392533553
55.488357538,37.381606904
55.487901227,37.429015116
55.492328685,37.438650138
55.496923112,37.426732658
55.491809345,37.412426446
55.495463464,37.396707449
55.506592112,37.380836117
55.510428482,37.439241169
55.517827320,37.460912640
55.494423602,37.347393520
55.494631062,37.333211224
55.502037063,37.327442376
55.515580834,37.372303997
55.520571091,37.351791937
55.525110958,37.376694129
55.522571868,37.390527435
55.524357729,37.400248835
55.507085032,37.242518139
55.511744829,37.230300840
55.519708884,37.229213242
55.524655240,37.241163344
55.521764419,37.259777121
55.512519035,37.264791033
55.507863272,37.281135173
55.520507496,37.283750585
55.510833027,37.305285086
55.523147281,37.313695280
55.530916297,37.266954149
55.532124686,37.228094407
55.524836900,37.217400326
55.525977623,37.204374401
55.516355018,37.197836141
55.510319252,37.174129380
55.495562582,37.134402443
55.522047697,37.134463689
55.529256200,37.124810998
55.538914929,37.128254981
55.532709874,37.158160311
55.540562371,37.166151431
55.546064481,37.178448827
55.541170212,37.196581617
55.553219732,37.206524895
55.555391818,37.163152632
55.547607939,37.146604160
55.554040130,37.218447424
55.553083320,37.228161505
55.533874208,37.356307547
55.542387202,37.362992433
55.538455205,37.377266073
55.546824249,37.382049437
55.532910456,37.424327477
55.539384914,37.439570045
55.532761017,37.439936564
55.534243765,37.459962884
55.527029872,37.465246980
55.526641412,37.452582572
55.525282085,37.499347965
55.547668978,37.277111575
55.556438554,37.248913064
55.561034144,37.264153667
55.555852358,37.306383770
55.566657455,37.233355776
55.564045103,37.211757544
55.562241420,37.182536564
55.545928992,37.328165922
55.550984733,37.327874384
55.555218987,37.324150685
55.560810548,37.339824413
55.564818087,37.358207713
55.549058755,37.415431644
55.550324083,37.430939521
55.565004744,37.444213266
55.572538504,37.445726672
55.566253006,37.430218567
55.576299410,37.434357937
55.579353471,37.423681373
55.576837524,37.416202927
55.570561579,37.418571909
55.557603510,37.404055056
55.567641470,37.396548781
55.579485248,37.390696631
55.586040256,37.421737076
55.576468619,37.342350134
55.593761609,37.322530290
55.603227348,37.348310981
55.568677398,37.291736483
55.568296089,37.273999405
55.577723942,37.272410291
55.580535179,37.254773050
55.594209878,37.216521994
55.590453358,37.193156440
55.600144662,37.201569159
55.598789811,37.178236809
55.604069408,37.167134956
55.589640158,37.172058794
